,book_title,isbn,user_id
0,Night Whispers,0671525743,52853
1,Jewel (Oprah's Book Club),0671042572,52853
2,Ladder of Years,0449910571,52853
3,Open House,0375506039,52853
4,Middlesex: A Novel,0374199698,52853
5,Choke,0385720920,52853
6,The Sum of All Fears,0425184226,52853
7,The Kitchen God's Wife,080410753X,52853
8,Digital Fortress : A Thriller,0312995423,52853
9,AGE OF INNOCENCE (MOVIE TIE-IN),002026478X,52853
10,On the Road,0140042598,52853
0,Tears of the Moon (Irish Trilogy),0515128546,31226
1,Basket Case,044661193X,31226
2,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),0553271636,31226
3,The Ghost,0440224853,31226
4,Stranger in a Strange Land (Remembering Tomorrow),0441790348,31226
5,The Sands of Time,0446356832,31226
6,Dreamcatcher,0743467523,31226
7,Having Our Say : The Delany Sisters' First 100 Years,0440220424,31226
8,The Stranger,0679720200,31226
9,Me Talk Pretty One Day,0316777722,31226
10,A Cry In The Night,0671886665,31226
0,The Eyre Affair: A Novel,0142001805,167471
1,A Patchwork Planet,080411918X,167471
2,The Surgeon,0345447840,167471
3,The Body Farm,0425147622,167471
4,Dragon Tears,0425140032,167471
5,Shadowfires,0425136981,167471
6,Bell Jar,0571081789,167471
7,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",0064407667,167471
8,City of Bones,0446611611,167471
9,While I Was Gone,0345443284,167471
10,Homeport,0515124893,167471
0,Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover)),0312288115,8066
1,Atonement : A Novel,038572179X,8066
2,Harry Potter and the Chamber of Secrets (Book 2),0439064864,8066
3,Shell Seekers,0440202043,8066
4,Neverwhere,0380789019,8066
5,Coraline,0380977788,8066
6,The Thorn Birds,0380018179,8066
7,Eyes of Prey,0425132048,8066
8,Babyville,0767912233,8066
9,Cause of Death,0425158616,8066
10,On the Street Where You Live,0671004530,8066
